#
# 资金账户信息
#
# 1. 资金帐户 C12
# 2. 资金帐户类别
#   - 1 普通账户
#   - 2 信用账户
#   - 3 衍生品账户
# 3. 客户号 C20
# 4. 资金账户状态
#   - 0 正常
#   - 1 非正常
# 5. 资金限制：多选，多项值用逗号隔开
# 6. 交易权限：多选，多项值用逗号隔开
# 7. 资金权限：多选，多项值用逗号隔开，指特殊业务的权限开通情况
# 8. 信用账户标志
#   - 0 非信用账户
#   - 1 信用账户
#   - 2 融资随用专户
#   - 3 融券随用专户
#   - 4 融资先得专户
#   - 5 融券先得专户
#   - 6 息费专户
#   - 7 担保账户
# 9.信用状态
#   - 0 正常类
#   - 1 关注类
#   - 2 警戒类
#   - 3 追加平仓类
#   - 4 清偿平仓类
#   - 5 终止类
#   - 6 准客户
# 

#FundAcc    |FAccType   |ClientID               |FAccStatus |FundLimits |TrdRights  |FundRights |CreditFlag |CreStatus
188800000000|1          |188800000000000        |0          |           |           |           |0          |0
188800000001|1          |188800000000001        |0          |           |           |           |0          |0
188800000002|1          |188800000000002        |0          |           |           |           |0          |0
188800000003|1          |188800000000003        |0          |           |           |           |0          |0
188800000004|1          |188800000000004        |0          |           |           |           |0          |0
188800000005|1          |188800000000005        |0          |           |           |           |0          |0
188800000006|1          |188800000000006        |0          |           |           |           |0          |0
188800000007|1          |188800000000007        |0          |           |           |           |0          |0
188800000008|1          |188800000000008        |0          |           |           |           |0          |0
188800000009|1          |188800000000009        |0          |           |           |           |0          |0
188800000010|1          |188800000000010        |0          |           |           |           |0          |0
188800000011|1          |188800000000011        |0          |           |           |           |0          |0
188800000012|1          |188800000000012        |0          |           |           |           |0          |0
188800000013|1          |188800000000013        |0          |           |           |           |0          |0
188800000014|1          |188800000000014        |0          |           |           |           |0          |0
188800000015|1          |188800000000015        |0          |           |           |           |0          |0
188800000016|1          |188800000000016        |0          |           |           |           |0          |0
188800000017|1          |188800000000017        |0          |           |           |           |0          |0
188800000018|1          |188800000000018        |0          |           |           |           |0          |0
188800000019|1          |188800000000019        |0          |           |           |           |0          |0
188800000020|1          |188800000000020        |0          |           |           |           |0          |0
188800000021|1          |188800000000021        |0          |           |           |           |0          |0
188800000022|1          |188800000000022        |0          |           |           |           |0          |0
188800000023|1          |188800000000023        |0          |           |           |           |0          |0
188800000024|1          |188800000000024        |0          |           |           |           |0          |0
188800000025|1          |188800000000025        |0          |           |           |           |0          |0
188800000026|1          |188800000000026        |0          |           |           |           |0          |0
188800000027|1          |188800000000027        |0          |           |           |           |0          |0
188800000028|1          |188800000000028        |0          |           |           |           |0          |0
188800000029|1          |188800000000029        |0          |           |           |           |0          |0
188800000030|1          |188800000000030        |0          |           |           |           |0          |0
188800000031|1          |188800000000031        |0          |           |           |           |0          |0
188800000032|1          |188800000000032        |0          |           |           |           |0          |0
188800000033|1          |188800000000033        |0          |           |           |           |0          |0
188800000034|1          |188800000000034        |0          |           |           |           |0          |0
188800000035|1          |188800000000035        |0          |           |           |           |0          |0
188800000036|1          |188800000000036        |0          |           |           |           |0          |0
188800000037|1          |188800000000037        |0          |           |           |           |0          |0
188800000038|1          |188800000000038        |0          |           |           |           |0          |0
188800000039|1          |188800000000039        |0          |           |           |           |0          |0
188800000040|1          |188800000000040        |0          |           |           |           |0          |0
