#资金帐户     |交易市场|证券账户    |证券代码     |可用股份数           |成本价
#FundAcc C12|Market|SecuAcc    |StockCode C6|StkAvlQty          |CostPrice
B880000384  |1     |B880000384 |600000      |1000000000                |0
B880000384  |1     |B880000384 |600004      |1000000000                |0
B880000384  |1     |B880000384 |600006      |1000000000                |0
B880000384  |1     |B880000384 |600007      |1000000000                |0
B880000384  |1     |B880000384 |600008      |1000000000                |0
B880000384  |1     |B880000384 |600009      |1000000000                |0
B880000384  |1     |B880000384 |600010      |1000000000                |0
B880000384  |1     |B880000384 |600011      |1000000000                |0
B880000384  |1     |B880000384 |600012      |1000000000                |0
B880000384  |1     |B880000384 |600015      |1000000000                |0
B880000384  |1     |B880000384 |600016      |1000000000                |0
B880000384  |1     |B880000384 |600017      |1000000000                |0
B880000384  |1     |B880000384 |600018      |1000000000                |0
B880000384  |1     |B880000384 |600019      |1000000000                |0
B880000384  |1     |B880000384 |600020      |1000000000                |0
B880000384  |1     |B880000384 |600021      |1000000000                |0
B880000384  |1     |B880000384 |600022      |1000000000                |0
B880000384  |1     |B880000384 |600023      |1000000000                |0
B880000384  |1     |B880000384 |600026      |1000000000                |0
B880000384  |1     |B880000384 |600027      |1000000000                |0
B880000384  |1     |B880000384 |600028      |1000000000                |0
B880000384  |1     |B880000384 |600029      |1000000000                |0
B880000384  |1     |B880000384 |600030      |1000000000                |0
B880000384  |1     |B880000384 |600031      |1000000000                |0
B880000384  |1     |B880000384 |600033      |1000000000                |0
B880000384  |1     |B880000384 |600035      |1000000000                |0
B880000384  |1     |B880000384 |600036      |1000000000                |0
B880000384  |1     |B880000384 |600037      |1000000000                |0
B880000384  |1     |B880000384 |600038      |1000000000                |0
B880000384  |1     |B880000384 |600039      |1000000000                |0
B880000384  |1     |B880000384 |600048      |1000000000                |0
B880000384  |1     |B880000384 |600050      |1000000000                |0
B880000384  |1     |B880000384 |600051      |1000000000                |0
B880000384  |1     |B880000384 |600052      |1000000000                |0
B880000384  |1     |B880000384 |600053      |1000000000                |0
B880000384  |1     |B880000384 |600054      |1000000000                |0
B880000384  |1     |B880000384 |600055      |1000000000                |0
B880000384  |1     |B880000384 |600056      |1000000000                |0
B880000384  |1     |B880000384 |600057      |1000000000                |0
B880000384  |1     |B880000384 |600058      |1000000000                |0
B880000384  |1     |B880000384 |600059      |1000000000                |0
B880000384  |1     |B880000384 |600060      |1000000000                |0
B880000384  |1     |B880000384 |600061      |1000000000                |0
B880000384  |1     |B880000384 |600062      |1000000000                |0
B880000384  |1     |B880000384 |600063      |1000000000                |0
B880000384  |1     |B880000384 |600064      |1000000000                |0
B880000384  |1     |B880000384 |600066      |1000000000                |0
B880000384  |1     |B880000384 |600067      |1000000000                |0
B880000384  |1     |B880000384 |600068      |1000000000                |0
B880000384  |1     |B880000384 |600069      |1000000000                |0
B880000384  |1     |B880000384 |600070      |1000000000                |0
B880000384  |1     |B880000384 |600071      |1000000000                |0
B880000384  |1     |B880000384 |600072      |1000000000                |0
B880000384  |1     |B880000384 |600073      |1000000000                |0
B880000384  |1     |B880000384 |600074      |1000000000                |0
B880000384  |1     |B880000384 |600075      |1000000000                |0
B880000384  |1     |B880000384 |600076      |1000000000                |0
B880000384  |1     |B880000384 |600077      |1000000000                |0
B880000384  |1     |B880000384 |600078      |1000000000                |0
B880000384  |1     |B880000384 |600079      |1000000000                |0
B880000384  |1     |B880000384 |600080      |1000000000                |0
